customer_key,customer_id,email,first_name,last_name,date_of_birth,gender,phone,country,region,state,city,postal_code,address_line1,address_line2,preferred_language,customer_status,registration_date,email_opt_in,sms_opt_in,push_opt_in,effective_date,expiry_date
1,CUST00000001,customer1@email.com,Yuliyey,DiDavis,1963-11-10,Other,+30-914-3421,France,North,Hauts-de-France,Lille,33988,  703 High Street,Suite 185,Italian,Active,2024-07-15,No,No,No,2024-12-28,
2,CUST00000002,customer2@email.com,Yuliyey,Taylor,1996-11-18,F,+31-554-9808,Spain,South,Andalusia,Seville,66705,166 High Street,Unit 167,German,Active,2023-04-13,Yes,Yes,Yes,2023-08-22,
3,CUST00000003,customer3@email.com,Wago,LaWeber,1976-09-18,Other,+46-563-4908,Italy,South,Sicily,Palermo,25937,  645 Main Street,Building A  ,  Italian,Active,2022-11-16,No,Yes,yes,2024-02-04,
4,CUST00000004,customer4@email.com,Wediduy,LeSchmidt,1954-05-03,M,,Italy,,,,,,,,Active  ,2021-06-01,Yes,Yes,Yes,2021-06-01,2021-07-31
5,CUST00000004,customer4@email.com,Wediduy,LeSchmidt,1954-05-03,M,+40-999-2736,Italy,North,Piedmont,,33616,,,,Active,2021-06-01,No,Yes,No,2021-07-31,2022-09-25
6,CUST00000004,customer4@email.com,Wediduy,LeSchmidt,1954-05-03,M,+40-999-2736,Spain,South,Andalusia,Malaga,43071,525 High Street,Floor 20,French,Active,2021-06-01,No,Yes,Yes,2022-09-25,
7,CUST00000005,customer5@email.com,William,WestBerg,1950-01-07,M,+36-954-4914,Spain,West,Community of Madrid,Madrid,65828,800 High Street,,Italian,Active,2024-06-20,No,Yes,No  ,2024-07-01,
8,CUST00000006,customer6@email.com,Dihoy,DaFischer,1958-12-19,F,+34-951-9659,France,West,Pays de la Loire,Nantes,62074,283 Main Street,,French,Active,2021-08-09,No,Yes,No,2023-01-04,
9,CUST00000007,customer7@email.com,KlauSon,Deljones,1951-04-22,Other,+38-593-8456,Spain,West,Community of Madrid,Madrid,75458,101 High Street,,French,Active,2024-08-25,Yes,No,Yes,2025-01-12,
10,CUST00000008,customer8@email.com,Zepa,  LaWilliams,1976-04-18,M,+40-909-7313  ,Italy,West,Lazio,Rome,99086,,Suite 201,English,Active,2022-10-01,No,No,Yes,2023-09-06,
11,CUST00000009,customer9@email.com,Ginadi,McWeber,1958-04-09,Other,+39-344-7787,France,South,Provence-Alpes-Cote d Azur,Nice,73502,502 High Street,,Spanish  ,Active,2022-09-22,No,No,YES,2024-12-18,
12,CUST00000010,customer10@email.com,Bihi  ,NorthStone,1970-02-09,Other,+45-733-3807,Spain,South,Andalusia,Malaga,44631,477 High Street,,spanish,Active,2024-11-14,Yes,Yes,No,2025-01-08,
13,CUST00000011,customer11@email.com,Kedun  ,McTaylor,1984-04-28,M,+34-943-7645,United Kingdom,South,East Sussex,Brighton,52813,  406 Main Street,,English  ,Active,2022-03-22,No,No,No,2024-11-08,
14,CUST00000012,customer12@email.com,Bobecele,Mcschmidt,2001-04-28,F,+37-683-1346,France,West,Pays de la Loire,Nantes,85494,890 Main Street,,German,Active,2022-03-25,No,Yes,No,2023-10-28,
15,CUST00000013,customer13@email.com,Tega,DeAnderson,1982-11-21,Other,+42-240-3566,Italy,East,Emilia-Romagna,Bologna,44665,538 Main Street,,English,Active,2023-06-25,Yes,Yes,No,2024-02-23,
